Titre du livre,Thèmes,Auteur.ice,Année,Discipline,Pays
"Présentes : villes,médias,politique,quelle place pour les femmes ?","appropriation de l'espace public,espace public,médias,politique",Lauren Bastide,2020,"Essai,Manifeste",France
La grande arnaque. Sexualité des femmes et échange économico-sexuel,"capitalisme patriarcal,sexualité féminine,échange économico-sexuel",Paola Tabet,2004,Anthropologie,Italie
La construction sociale de l’inégalité des sexes. Des outils et des corps,"corps,corps féminin.s,échange économico-sexuel",Paola Tabet,2005,Anthropologie,Italie
"Luttes d’hier,luttes d’aujourd’hui : conversations avec des féministes révolutionnaires","activisme,féminisme révolutionnaire,lutte,lutte pour les droits des femmes,militantisme,révolution","Brenna Bhandar,Rafeef Ziadah",2020,"Droit,Sciences politiques,Sciences sociales",Royaume-Uni
Art : genre féminin,"art,histoire de l'art,performance artistique",Aware,2021,Histoire de l'art,France
La performance: un espace de visibilité pour les femmes artistes ?,"art,performance artistique",Aware,2021,Histoire de l'art,France
"Parent-elles - Compagne de,fille de,sœur de… : les femmes artistes au risque de la parentèle","art,famille.s","Aware,Claire Barbillon",2017,Histoire de l'art,France
Le prisme de la prostitution,"TDS,prostitution,travailleur.euse.s du sexe",Gail Pheterson,2001,"Psychologie,Sciences sociales",Pays-Bas
Femmes en flagrant délit d'indépendance,"grossesse,migrations,prostitution,sexualité féminine,sexualité.s,violences",Gail Pheterson,2010,"Psychologie,Sciences sociales",Pays-Bas
La Poudre,"cinéma,espace public,médias",Lauren Bastide,2020,Témoignages,France
Une théorie féministe de la violence - pour une politique antiraciste de la protection,"anti-racisme,féminisme anti-carcéral,racisme institutionnel,racisme structurel,violence,violence oppressive,violences policières,violences sexuelles",Françoise Vergès,2020,"Essai,Philosophie",France
Marre de souffrir pour ma contraception - Manifeste féministe pour une contraception pleinement épanouissante,"arrêt de la pilule,contraception,pilule",Sabrina Debusquat,2019,Santé,France
"Travail gratuit et grèves féministes","grève féministe,lutte pour les droits des femmes,travail gratuit","Maud Simonet,Morgane Kuehni,Morgane Merteuil,Silvia Federici",2020,"Sciences sociales,Sociologie","Etats-Unis,France,Italie,Suisse"
"Une guerre mondiale contre les femmes - Des chasses aux sorcières au féminicide","capitalisme,capitalisme patriarcal,sorcières,violences",Silvia Federici,2021,"Histoire,Sciences sociales","Etats-Unis,Italie"
Un féminisme décolonial,"anti-capitalisme,anticapitalisme,anticolonialisme,féminisme décolonial,pensée décoloniale,racisme,racisme structurel",Françoise Vergès,2019,"Sciences politiques,Sciences sociales",France
Ma vie sur la route - mémoires d'une icône féministe / My Life on the Road,"activisme,antiracisme,antisexisme,droits des femmes,droits des minorités,lutte pour les droits des femmes,militantisme",Gloria Steinem,2019,"Autobiographie,Essai",Etats-Unis
La vérité vous libérera mais d'abord elle vous mettra en rage,"activisme,lutte,lutte pour les droits des femmes,militantisme",Gloria Steinem,2020,Essai,Etats-Unis
Tout le monde peut être féministe,"féminisme intersectionnel,patriarcat,sexisme",bell hooks,2020,"Essai,Feminist studies",Etats-Unis
"Le corps des femmes - la bataille de l'intime","appropriation des corps,corps,corps féminin.s,féminisme matérialiste,travail reproductif",Camille Froidevaux-Metterie,2018,Philosophie,France
Jouir - en quête de l'orgasme féminin,"désir,orgasme,plaisir,plaisir féminin,pornographie,sexe,sexualité féminine,sexualité.s",Sarah Barmak,2019,"Essai,Sciences sociales",Canada
"Ceci est mon sang,petite histoire des règles,de celles qui les ont et de ceux qui les font","endométriose,menstruations,protections périodiques,règles,sang menstruel,tabou,taxe rose",Elise Thiébaut,2017,"Essai,Histoire",France
Les règles... quelle aventure !,"cycles menstruels,menstruations,règles","Elise Thiébaut,Mirion Malle",2017,Guide,France
"Femmes et cinéma,Sois belle et tais-toi !","cinéma,injonction à la beauté,injonction à la minceur,injonctions,sexisme,stéréotypes",Brigitte Rollet,2017,"Cinéma,Essai",France
"Femmes libres,hommes libres. Sexe,genre,féminisme","féminisme amazone,féminisme libertaire,genre",Camille Paglia,2019,Essai,Etats-Unis
La terreur féministe - Petit éloge du féminisme extrémiste,"action directe,violence,violence oppressive,violence subversive",Irene,2021,Essai,Espagne
"Moi les hommes,je les déteste","domination masculine,misandrie,patriarcat,violences",Pauline Harmange,2020,Essai,France
Jouissance Club - Une cartographie du plaisir,"plaisir,plaisir féminin,sexe,sexualité féminine,sexualité.s",June Pla,2020,Guide,France
"Le capitalisme patriarcal","anti-capitalisme,anticapitalisme,antipatriarcal,mariage,maternité.s,patriarcat,travail gratuit,travail reproductif,travailleur.euse.s du sexe",Silvia Federici,2019,Essai,"Etats-Unis,Italie"
François d'Eaubonne et l'écoféminisme,"décroissance,écoféminisme,écologie,écologie politique","Caroline Goldblum,Françoise d'Eaubonne,Serge Latouche",2019,Ecologie,France
"Le sexocide des sorcières","sexocide,sorcellerie,sorcières",Françoise d'Eaubonne,1999,Essai,France
Une femme nommée Castor - mon amie Simone de Beauvoir,"M.L.F.,Simone de Beauvoir,amitié.s,lutte pour les droits des femmes",Françoise d'Eaubonne,2008,Biographie,France
"Caliban et la sorcière - Femmes,corps et accumulation primitive","capitalisme,capitalisme patriarcal,sorcellerie,sorcières",Silvia Federici,2017,"Economie,Essai,Sociologie","Etats-Unis,Italie"
Pour elles toutes : Femmes contre la prison,"féminisme anti-carcéral,prison,système pénal",Gwénola Ricordeau,2019,Essai,France
Le silence des vaincues,histoire des femmes,Patricia W. Barker,2022,Histoire,Royaume-Uni
"Point zéro : propagation de la révolution - salaire ménager,reproduction sociale,combat féministe","féminisme révolutionnaire,révolution,travail domestique,travail ménager,travail reproductif",Silvia Federici,2016,Essai,"Etats-Unis,Italie"
"Par-delà les frontières du corps - Repenser,refaire et revendiquer le corps dans le capitalisme tardif","GPA,PMA,capitalisme,corps,intersectionnalité,justice sociale,travail reproductif",Silvia Federici,2020,Essai,Italie
"Ces hommes qui m'expliquent la vie",mansplaining,Rebecca Solnit,2018,Essai,Etats-Unis
Au-delà de la pénétration,"hétérosexualité,plaisir féminin,sexualité féminine,sexualité.s",Martin Page,2019,Essai,France
Ame de sorcière ou la magie du féminin,"sorcellerie,sorcières",Odile Chabrillac,2017,Sciences sociales,France
Poétique réjouissante du lubrifiant,"désir,orgasme,plaisir,plaisir féminin,sexe,sexualité féminine,sexualité.s",Lou Sarabadzic,2020,"Essai,Guide","France,Royaume-Uni"
"Petit guide de la masturbation féminine","masturbation,sexualité féminine,sexualité.s",Julia Pietri,2019,"Guide,Manifeste",France
Volcaniques - une anthologie du plaisir,"afropéenne,corps féminin.s,plaisir féminin,sexualité féminine",Léonora Miano,2015,Essai,"Cameroun,France"
"Ne nous libérez pas,on s'en charge - Une histoire des féminismes de 1789 à nos jours","histoire des femmes,histoire des féminismes","Bibia Pavard,Florence Rochefort,Michelle Zancarini-Fournel",2020,Histoire,France
La puissance du féminin,"accouchement,corps,corps féminin.s,cycles menstruels,féminin sacré,grossesse,maternité.s,menstruations,ménopause,puissance,règles,sexualité féminine,sexualité.s,sororité,transmission",Camille Sfez,2018,"Guide,Témoignages",France
Lune rouge - Les forces du cycle féminin,"cycles,cycles menstruels,menstruations,règles",Miranda Gray,2017,Santé,France
Et si le féminisme nous rendait heureuses,"corps,patriarcat,sexisme,sexisme ordinaire,sexualité féminine,sexualité.s",Pauline Arrighi,2019,Guide,France
La démocratie féministe. Réinventer le pouvoir,intersectionnalité,Marie-Cécile Naves,2020,Sciences politiques,France
Pourquoi le patriarcat ?,"capitalisme patriarcal,care,patriarcat","Carol Gilligan,Naomi Snider",2019,"Philosophie,Psychologie",Etats-Unis
L’homme préhistorique est aussi une femme - Une histoire de l’invisibilité des femmes,préhistoire,Marylène Patou-Mathis,2020,"Histoire,Paléontologue",France
Le corps lesbien,"LGBT,corps féminin.s,corps lesbien,lesbianisme,lesbienne",Monique Wittig,1973,Essai,France
La pensée straight,"domination sociale,hétéronormativité",Monique Wittig,1992-2001,"Feminist studies,Gender studies",France
La contrainte à l'hétérosexualité et autres essais,"homosexualité,hétérosexualité",Adrienne Rich,1980,Essai,Etats-Unis
La Fabrique des garçons. Sanction et genre au collège,"construction des masculinités,fabrication du masculin,masculinité.s,socialisation masculine,éducation",Sylvie Ayral,2011,Sciences sociales,France
Toutes les femmes sont d'abord des ménagères,"travail domestique,travail gratuit,travail ménager",Camille Robert,2017,Sciences politiques,"Canada,Québec"
Seins : en quête d'une libération,"corps,corps féminin.s,féminisme matérialiste",Camille Froidevaux-Metterie,2020,"Sciences sociales,Témoignages",France
"Backlash - La guerre froide contre les femmes","capitalisme patriarcal,droits des femmes,patriarcat,violences",Susan Faludi,1991,"Enquête,Essai",Etats-Unis
Du consentement,"consentement,désir,sexualité.s",Geneviève Fraisse,2007 - 2017,Essai,France
Histoire des femmes en Occident,histoire des femmes,"Geneviève Fraisse,George Duby,Michelle Perrot",1992,Histoire,France
Se défendre - Une philosophie de la violence,"action directe,violence,violence politique",Elsa Dorlin,2017,Philosophie,France
La matrice de la race - Généalogie sexuelle et coloniale de la Nation française,"appropriation des corps,emprise coloniale,esclavage,maladie,pensée décoloniale,race,racisme,travail reproductif,violences obstétricales",Elsa Dorlin,2006,"Histoire,Philosophie",France
"Sexe,genre et sexualités","LGBT,LGBTQIA+,genre,intersectionnalité,queer,sexe,sexualité.s",Elsa Dorlin,2008,Philosophie,France
"On ne naît pas grosse","corps,corps féminin.s,grossophobie,injonction à la minceur,injonctions",Gabrielle Deydier,2017,Essai,France
Bad feminist,"injonctions,pureté militante,stéréotypes",Roxane Gay,2019,Essai,Etats-Unis
"Je suis un monstre qui vous parle","LGBT,LGBTQIA+,queer,queer studies,transidentité",Paul B. Preciado,2020,"Essai,Sciences sociales",France
"Peau : A propos de sexe,de classe et de littérature","activisme,inceste,lesbophobie,sexualité.s",Dorothy Allison,2015,Essai,Etats-Unis
Le Consentement,"consentement,emprise,pédocriminalité,viol,violences sexuelles",Vanessa Springora,2020,"Essai,Témoignages",France
Petit manuel antiraciste et féministe,"antiracisme,pratiques antiracistes,privilège blanc,racisme",Djamila Ribeiro,2020,Guide,Brésil
"Une farouche liberté","avortement,lutte,lutte pour les droits des femmes,politique",Gisèle Halimi,2020,Autobiographie,"France,Tunisie"
La cause des femmes,"avortement,lutte pour les droits des femmes,pouvoir politique",Gisèle Halimi,1992,"Autobiographie,Juridique","France,Tunisie"
Féministes du monde arabe,"avortement,discriminations,violences sexuelles,voile",Charlotte Bienaimé,2015,"Feminist studies,Sciences sociales","Algérie,Egypte,Maroc,Tunisie"
En finir avec les violences sexistes et sexuelles - Manuel d'action,"violences,violences sexuelles",Caroline De Haas,2021,Sociologie,France
Mes ancêtres les Gauloises – Une autobiographie de la France,"France,histoire,histoire des femmes",Elise Thiébaut,2019,Histoire,France
Le regard féminin - Une révolution à l'écran,"cinéma,female gaze",Iris Brey,2020,"Cinéma,Essai",France
Sex and the series,"cinéma,sexualité féminine",Iris Brey,2016,"Cinéma,Essai",France
"Hétéro,l'école ? Plaidoyer pour une éducation antioppressive à la sexualité","hétéronormativité,hétérosexualité,injonctions,école,éducation nationale,éducation à la sexualité",Gabrielle Richard,2020,Enquête,"France,Québec"
Éduquer sans préjugés – Pour une éducation non sexiste des filles et des garçons,"rôles genrés,éducation,éducation non genrée","Amandine Hancewicz,Manuela Spinelli",2021,"Guide,Sciences sociales",France
Libération des femmes: 40 ans de mouvement,"lutte pour les droits des femmes,militantisme",Françoise Picq,2011,Histoire,France
Affamée - Une histoire de mon corps,"grossophobie,injonctions",Roxane Gay,2019,Essai,Etats-Unis
"Se dire lesbienne - Vie de couple,sexualités,représentation de soi","LGBT,couple,couple homosexuel,homosexualité,lesbianisme,représentations,sexualité.s",Natacha Chetcuti-Osorovitz,2010,Sociologie,France
Un troussage domestique,"DSK,harcèlement,sexisme,viol",Christine Delphy,2011,"Sciences sociales,Sociologie",France
"Ville féministe - Notes de terrain","appropriation de l'espace public,espace public,militantisme,mère.s,ville",Leslie Kern,2022,Géographie,Canada
La ville faite par et pour les hommes,"appropriation de l'espace public,discriminations,espace public,sexisme",Yves Raibaud,2015,Géographie,France
Libérées - Le combat féministe se gagne devant le panier de linge sale,"charge mentale,travail domestique,travail gratuit,travail ménager",Titiou Lecoq,2017,Essai,France
Beyoncé est-elle féministe ? Et autres questions,"charge mentale,genre,harcèlement,sexisme","Margaux Collet,Raphaëlle Rémy-Leleu",2018,Essai,France
Ils ne décideront plus pour nous - Débats sur l'IVG 1971-1975,"IVG,avortement,militantisme",Anne-Cécile Mailfert,2015,Histoire,France
La guerre invisible - Révélations sur les violences sexuelles dans l'armée française,"armée,harcèlement,harcèlement sexuel,sexisme,violences sexuelles","Julia Pascual,Leila Minano",2014,Enquête,France
Faiminisme - Quand le sexisme passe à table,"gastronomie,nourriture,sexisme,travail domestique",Nora Bouazzouni,2017,Essai,France
Noire n'est pas mon métier,"discriminations,racisme,sexisme",Aïssa Maiga,2018,Essai,France
"Non,le masculin ne l'emporte pas sur le féminin - Petite histoire des résistances de la langue française","langue française,sexisme,sexisme ordinaire,écriture inclusive",Eliane Viennot,2017,"Histoire,Linguistique",France
L'amour sous algorithme,"Tinder,amour.s,injonctions,numérique",Judith Duportail,2019,Enquête,France
C'est mon corps,"contraception,endométriose,grossesse,ménopause,règles",Martin Winckler,2020,"Médecine,Santé",France
Les couilles sur la table,"construction des masculinités,domination masculine,inconscient patriarcal,patriarcat",Victoire Tuaillon,2019,"Essai,Sciences sociales",France
Le rose et le bleu - La fabrique du féminin et du masculin,"concept du féminin,concept du masculin,fabrication du masculin,injonctions,normes sociales,rôles","Emmanuelle Berthiaud,Scarlett Beauvalet",2016,"Droit,Histoire",France
"Histoire du viol - XVIème - XVIIIème siècle","viol,violences sexuelles",Georges Vigarelloo,2000,Histoire,France
La femme des origines : Images de la femme dans la préhistoire occidentale,préhistoire,Claudine Cohen,2003,Histoire,France
Histoire de la virilité,"construction des masculinités,virilité",Georges Vigarelloo,2015,Histoire,France
La Robe - Une histoire culturelle - Du Moyen Âge à aujourd'hui,constructions sociales,Georges Vigarelloo,2017,Histoire,France
Tahiti – 1768. Jeunes filles en pleurs. La face cachée des premiers contacts et la naissance du mythe occidental,"biais occidentaliste,mythe occidental",Serge Tcherkézoff,2005,"Anthropologie,Histoire",Tahiti
La domination des femmes à Tahiti. Des violences envers les femmes au discours du matriarcat,"matriarcat,violences sexuelles",Patrick Cerf,2009,Anthropologie,Tahiti
Africaines et diplômées à l’époque coloniale (1918-1957),"colonialisme,emprise coloniale,pensée décoloniale",Pascale Barthélémy,2010,Histoire,Afrique
Pax neoliberalia - perspectives féministes sur (la réorganisation de) la violence,"capitalisme patriarcal,coercition,instrumentalisation de la violence,mondialisation néolibérale",Jules Falquet,2016,Essai,France
Genre et utopie,"constructions sociales,genre",Michèle Riot-Sarcey,2014,Histoire,France
Féminisme et antimilitarisme,"anticolonialisme,antimilitarisme,féminisme pacifiste",Andrée Michel,2012,Sociologie,France
Théories féministes et queers décoloniales. Interventions Chicanas et Latinas états-uniennes,féminisme décolonial,"Jules Falquet,Paola Bacchetta",2011,Sciences sociales,France
T'as pensé à ..? Guide d'autodéfense sur la charge mentale,"charge mentale,répartition des tâches domestiques,travail domestique,travail ménager",Coline Charpentier,2020,"Essai,Guide",France
Le Manuel d’activisme féministe de Clit Révolution,"activisme,lutte pour les droits des femmes,militantisme","Elvire Duvelle-Charles,Sarah Constantin",2020,Guide,France
La Puissance des mères - Pour un nouveau sujet révolutionnaire,"classe sociale,figure de la mère,féminisme révolutionnaire,immigration,maternité.s,mère.s,puissance",Fatima Ouassak,2020,Essai,France
Libres ! - Manifeste pour s'affranchir des diktats sexuels,"consentement,injonctions,plaisir féminin,sexualité féminine","Diglee,Ovidie",2017,Manifeste,France
"Identités françaises - Banlieues,féminités et universalisme","féminisme intersectionnel,identité nationale,intersectionnalité,périphérisations",Mame-Fatou Niang,2022,Sciences sociales,France
"Testo junkie: sexe,drogue et biopolitique","LGBT,biopolitique,drogue,sexe,sexualité.s",Paul B. Preciado,2008,Sciences sociales,France
Manifeste contra-sexuel,"biopolitique,contra-sexualité,corps,hétéronormativité,sexualité.s",Paul B. Preciado,2000,Sciences sociales,"Espagne,France"
Pornotopie - Playboy et l'invention de la sexualité multimédia,"LGBT,LGBTQIA+,homosexualité,sexualité.s",Paul B. Preciado,2011,Sciences sociales,France
"Des vies de combat - Femmes,noires et libres","activisme,femmes noires,histoire des femmes,lutte pour les droits des femmes,racisme",Audrey Célestine,2020,"Histoire,Portraits",France
Histoire féminine de la France - de la Révolution à la loi Veil (1789-1975),"histoire des femmes,lutte pour les droits des femmes",Yannick Ripa,2020,Histoire,France
Les femmes ou les silences de l'histoire,"histoire des femmes,lutte pour les droits des femmes",Michelle Perrot,2020,Histoire,France
La vie de famille au XIXe siècle. Suivi de Les rites de la vie privée bourgeoise,"bourgeoisie,couple,famille.s,histoire des femmes",Michelle Perrot,2015,Histoire,France
Histoire de chambres,"accouchement,couple,histoire des femmes,sexe,sexualité.s",Michelle Perrot,2009,Histoire,France
George Sand à Nohant : une maison d'artiste,George Sand,Michelle Perrot,2018,Histoire,France
La plus belle histoire des femmes,histoire des femmes,"Françoise Héritier,Michelle Perrot,Nicole Bacharan,Sophie Agacinski",2011,"Anthropologie,Histoire,Philosophie",France
"Des femmes rebelles - Olympe de Gouges,Flora Tristan,George Sand","Flora Tristan,George Sand,Olympe de Gouges,histoire des femmes,lutte pour les droits des femmes",Michelle Perrot,2014,Histoire,France
Mon corps ne vous appartient pas : contre la dictature de la médecine sur les femmes,"PMA,contraception,grossesse,violences gynécologiques,violences obstétricales",Marianne Durano,2018,"Médecine,Philosophie",France
Histoire de la misogynie : le mépris des femmes de l'Antiquité à nos jours,"misogynie,sexisme",Adeline Gargam,2020,Histoire,France
Le musée des sorcières : essai,"misogynie,religion,sorcellerie,sorcières",Catherine Clément,2020,Histoire,France
"Transidentités - Ordre et panique de genre,le réel et ses interprétations","LGBT,transidentité",Karine Espineira,2015,Sciences sociales,"Chili,France"
"Combattantes,une histoire de la violence féminine en Occident","histoire des femmes,violence des femmes,violences",Collectif,2020,Histoire,France
Cyberharcèlement - Bien plus qu’un mal virtuel,"cyber violences,cyberharcèlement,harcèlement","Anaïs Condomines,Emmanuelle Friedmann",2019,Essai,France
Histoire mondiale des féminismes,"histoire des femmes,histoire des féminismes,lutte pour les droits des femmes",Florence Rochefort,2018,Histoire,France
De la marge au centre - Théorie féministe / Feminist Theory: From Margin to Center,"discriminations,luttes révolutionnaires,oppressions",bell hooks,1984,Essai,Etats-Unis
Qui gardera nos enfants ?,"exploitation,maternité.s,précarité,racisme,rapport de domination,subordination",Caroline Ibos,2012,Sociologie,France
"Au-delà du plaisir visuel - Féminisme,énigmes,cinéphilie","cinéma,inconscient patriarcal",Laura Mulvey,2017,Essai,Royaume-Uni
Sister outsider,"féminisme intersectionnel,homophobie,lesbophobie,racisme,sexisme,âgisme",Audre Lorde,1984,Essai,Etats-Unis
Qu'est-ce que le care ?,"capitalisme patriarcal,care,individualisme,vulnérabilités,éthique","Pascale Molinier,Patricia Paperman,Sandra Laugier",2009,"Santé,Sciences sociales",France
Afro-communautaire : Appartenir à nous-mêmes,"afro-féminisme,antipatriarcal,antiracisme,racisme,racisme structurel",Fania Noël-Thomassaint,2019,African studies,France
Résister au désastre,"crise écologique et climatique,liberté,écoféminisme,écologie",Isabelle Stengers,2019,Ecologie,Belgique
"Sexe et mensonge,la vie sexuelle au Maroc","Maroc,mariage,sexualité.s,virginité",Leïla Slimani,2017,"Essai,Témoignages","France,Maroc"
Vie précaire,"censure,terrorisme,victimes,violences",Judith Butler,2005,Philosophie,Etats-Unis
Retour à Reims,"domination sociale,pensée critique,queer,reproduction sociale,transfuge de classe",Didier Eribon,2009,"Autobiographie,Essai,Sociologie",France
Réflexion sur la question gay,"gay and lesbian studies,gay studies",Didier Eribon,1999,Essai,France
Échapper à la psychanalyse,"amitié.s,amour.s",Didier Eribon,2005,Essai,France
Théories de la littérature. Système du genre et verdicts sexuels,"LGBT,LGBTQIA+,amitié.s,amour.s,genre,homosexualité,identité.s de genre",Didier Eribon,2015,Essai,France
Les doigts coupés : Une anthropologie féministe,"capitalisme patriarcal,travail reproductif,échange économico-sexuel",Paola Tabet,2014,Anthropologie,Italie
Chroniques altermondialistes - Tisser la toile du soulèvement mondial,"activisme,altermondialisme,crise écologique et climatique,lutte,écoféminisme",Starhawk,2016,Essai,Etats-Unis
Homo Inc.orporated : Le triangle et la licorne qui pète,"LGBT,LGBTQIA+,non-binarité,queer",Sam Bourcier,2017,Queer studies,France
Sexpolitiques : Queer zones 2,"LGBT,LGBTQIA+,queer,queer studies",Sam Bourcier,2005,Queer studies,France
"Queer zones 3 : identités,cultures et politiques","LGBT,LGBTQIA+,pornographie,queer,queer studies",Sam Bourcier,2011,Queer studies,France
Reclaim - recueil de textes écoféministes,écoféminisme,Émilie Hache,2016,Recueil,France
"Donner naissance – Doulas,sages-femmes et justice reproductive","accouchement,doulas,justice reproductive,naissance,sages-femmes",Alana Apfel,2017,"Essai,Témoignages",Etats-Unis
La littérature à l'heure de #metoo,"#MeToo,littérature",Hélène Merlin-Kajman,2020,"Essai,Littérature",France
Coïts,"féminisme radical,pornographie",Andrea Dworkin,1987,"Essai,Sciences sociales",Etats-Unis
Pornography: Men Possessing Women,pornographie,Andrea Dworkin,1979,Essai,Etats-Unis
Writing America: How Novelists Invented and Gendered a Nation,"Etats-Unis,culture,genre,identité nationale",Andrea Dworkin,2005 - inachevé,Gender studies,Etats-Unis
"Moi,Rigoberta Menchu - Une vie et une voix,la révolution au Guatemala","Guatemala,lutte pour les droits des femmes,luttes révolutionnaires,révolution",Elisabeth Burgos,1983,"Ethnologie,Histoire",Guatemala
Je voulais juste vivre,Corée du Nord,Yeonmi Park,2017,"Histoire,Témoignages",Corée du Nord
La guerre n'a pas un visage de femme,"URSS,Union soviétique,guerre,histoire des femmes,violence des femmes",Svetlana Alexievitch,1985,"Histoire,Témoignages","Russie,Ukraine"
"Ici,les femmes ne rêvent pas - Récit d'une évasion",Arabie Saoudite,Rana Ahmad,2018,Témoignages,Arabie Saoudite
Dis adieu à ton corps,"Iran,appropriation des corps,corps,liberté,lutte pour les droits des femmes",Negzzia,2020,Témoignages,Iran
Foulards et hymens - pourquoi le Moyen-Orient doit faire sa révolution sexuelle,"Egypte,Moyen-Orient,patriarcat,sexualité.s,test de virginité,viol comme arme de guerre,violences sexuelles",Mona Eltahawy,2015,"Essai,Témoignages",Egypte
Jamais sans ma fille - mon combat pour rentrer aux Etats-Unis avec ma fille,"Iran,patriarcat,violences conjugales,violences sexuelles",Betty Mahmoody,1991,Témoignages,"Etats-Unis,Iran"
La moitié du ciel - enquête sur des femmes extraordinaires qui combattent l'oppression,"esclavage sexuel,lutte,lutte pour les droits des femmes,oppressions,viol,violences sexuelles","Nicholas Kristof,Sheryl Wudunn",2010,"Enquête,Témoignages",Etats-Unis
"Moi,Malala - Je lutte pour l'éducation et je résiste aux talibans","Pakistan,Talibans,lutte pour les droits des femmes,terrorisme,éducation","Malala Yousafzai",2014,Témoignages,Pakistan
"The daughters of Kobani - A story of rebellion,courage and justice","Kurdes,Syrie,lutte pour les droits des femmes",Gayle Tzemach Lemmon,2021,Enquête,Etats-Unis
Rescapée du goulag chinois,"Chine,Ouïghours,goulag,génocide,répression","Gulbahar Haitiwaji,Rozenn Morgat",2022,Témoignages,Chine
Les fugitives - partir ou mourir en Arabie Saoudite,"Arabie Saoudite,domination masculine,exil,liberté,patriarcat",Hélène Coutard,2021,"Enquête,Témoignages",France
Organizing Women in Contemporary Russia - Engendering Transition,"Russie,activisme,lutte pour les droits des femmes,post-communisme",Valerie Sperling,1999,"Sciences politiques,Sciences sociales",Etats-Unis
"Courting Gender Justice: Russia,Turkey,and the European Court of Human Rights","LGBTQIA+,Russie,Turquie,droits de l'humain,justice","Lisa McIntosh Sundstrom,Melike Sayoglu,Valerie Sperling",2019,"Sciences politiques,Sciences sociales",Etats-Unis
"A most masculine State. Gender,politics,and religion in Saudi Arabia","Arabie Saoudite,Etat,genre,pouvoir politique,religion",Madawi Al-Rasheed,2013,Anthropologie,Arabie Saoudite
Le désespoir voilé. Femmes et féministes de Palestine,"Palestine,histoire des féminismes,lutte pour les droits des femmes",Norma Marcos,2013,Histoire,"France,Palestine"
La chair de l’empire. Savoirs intimes et pouvoirs raciaux en régime colonial,"appropriation des corps,emprise coloniale,féminisme décolonial,pensée décoloniale",Ann Laura Stoler,2002,"Anthropologie,Histoire",Etats-Unis
Dictionnaire genre & science politique,"capitalisme,care,genre,intersectionnalité,néo-libéralisme,politique","Catherine Achin,Laure Bereni",2013,"Sciences politiques,Sciences sociales",France
"Egalité des hommes et des femmes - et autres textes","égalité,égalité des genres,égalité des sexes",Marie de Gournay,1634-2018,Essai,France
No sex - Avoir envie de ne pas faire l'amour,"LGBTQIA+,asexualité,corps,sexualité.s",Peggy Sastre,2010,Essai,France
L'amour sans le faire - Comment vivre sans libido dans un monde où le sexe est partout ?,"LGBTQIA+,amour.s,asexualité,corps,désir,libido,sexualité.s",Geraldin Levi Joosten-van Vilsteren,2005,Essai,Pays-Bas
Les nouvelles solitudes,"culte de la performance,rapport hommes femmes,sexualité.s,solitude",Marie-France Hirigoyen,2007,Psychanalyste,France
Un féminisme décolonial,"anti-capitalisme,anticapitalisme,anticolonialisme,féminisme décolonial,pensée décoloniale,racisme,racisme structurel",Françoise Vergès,2019,"Sciences politiques,Sciences sociales",France
